id,order_number,customer_id,product_id,quantity,unit_price,order_date,status,region
135,ORD-202400135,22,7,5,800,2024-03-31,Delivered,East
136,ORD-202400136,15,5,3,2000,2024-01-31,Delivered,East
137,ORD-202400137,49,2,5,1200,2024-06-25,Processing,South
138,ORD-202400138,18,12,4,1500,2024-05-30,Cancelled,Central
139,ORD-202400139,7,10,3,3500,2024-02-19,Shipped,East
140,ORD-202400140,1,3,3,3500,2024-05-16,Processing,North
141,ORD-202400141,19,1,5,75000,2024-06-27,Delivered,West
142,ORD-202400142,37,2,1,1200,2024-03-13,Delivered,West
143,ORD-202400143,4,6,2,4500,2024-03-05,Delivered,West
144,ORD-202400144,26,2,1,1200,2024-05-05,Pending,North
145,ORD-202400145,37,3,2,3500,2024-03-18,Pending,South
146,ORD-202400146,49,2,5,1200,2024-04-16,Delivered,Central
147,ORD-202400147,25,4,5,18000,2024-04-25,Delivered,East
148,ORD-202400148,28,14,5,5500,2024-03-19,Delivered,North
149,ORD-202400149,49,10,1,3500,2024-02-23,Delivered,East
150,ORD-202400150,11,11,1,600,2024-03-02,Processing,North
151,ORD-202400151,27,3,1,3500,2024-04-25,Delivered,West
152,ORD-202400152,15,5,1,2000,2024-03-14,Delivered,West
153,ORD-202400153,17,2,2,1200,2024-06-09,Delivered,South
154,ORD-202400154,35,7,1,800,2024-02-27,Delivered,East
155,ORD-202400155,5,14,2,5500,2024-01-16,Processing,East
156,ORD-202400156,19,10,5,3500,2024-04-22,Processing,East
157,ORD-202400157,18,12,4,1500,2024-05-08,Delivered,West
158,ORD-202400158,3,2,5,1200,2024-04-20,Delivered,Central
159,ORD-202400159,6,5,1,2000,2024-02-28,Cancelled,Central
160,ORD-202400160,49,10,1,3500,2024-06-21,Delivered,Central
161,ORD-202400161,31,1,2,75000,2024-05-12,Delivered,East
162,ORD-202400162,28,3,5,3500,2024-06-11,Delivered,North
163,ORD-202400163,27,8,3,1800,2024-03-26,Shipped,North
164,ORD-202400164,22,14,2,5500,2024-04-15,Delivered,East
165,ORD-202400165,49,11,4,600,2024-05-20,Pending,North
166,ORD-202400166,21,6,3,4500,2024-01-30,Cancelled,West
167,ORD-202400167,1,14,5,5500,2024-06-17,Delivered,West
168,ORD-202400168,13,7,1,800,2024-05-12,Delivered,West
169,ORD-202400169,49,11,4,600,2024-01-14,Shipped,Central
170,ORD-202400170,29,3,3,3500,2024-06-27,Delivered,North
171,ORD-202400171,16,11,5,600,2024-02-10,Shipped,North
172,ORD-202400172,6,9,4,8500,2024-02-27,Cancelled,North
173,ORD-202400173,42,8,1,1800,2024-02-09,Delivered,East
174,ORD-202400174,27,9,3,8500,2024-05-03,Cancelled,South
175,ORD-202400175,10,8,5,1800,2024-04-08,Processing,Central
176,ORD-202400176,5,9,2,8500,2024-03-11,Delivered,West
177,ORD-202400177,18,6,5,4500,2024-01-01,Shipped,East
178,ORD-202400178,38,14,5,5500,2024-06-17,Delivered,South
179,ORD-202400179,31,8,5,1800,2024-03-29,Shipped,Central
180,ORD-202400180,21,7,4,800,2024-02-18,Cancelled,South
181,ORD-202400181,15,10,4,3500,2024-04-15,Pending,West
182,ORD-202400182,25,12,4,1500,2024-06-18,Delivered,South
183,ORD-202400183,9,8,1,1800,2024-05-08,Cancelled,East
184,ORD-202400184,29,14,1,5500,2024-01-26,Delivered,West
185,ORD-202400185,27,1,2,75000,2024-06-16,Cancelled,North
186,ORD-202400186,22,8,3,1800,2024-06-08,Delivered,North
187,ORD-202400187,44,14,3,5500,2024-05-16,Delivered,East
188,ORD-202400188,35,11,4,600,2024-01-10,Delivered,South
189,ORD-202400189,15,11,3,600,2024-01-24,Delivered,North
190,ORD-202400190,29,13,1,6500,2024-02-12,Delivered,North
191,ORD-202400191,4,1,3,75000,2024-03-16,Delivered,West
192,ORD-202400192,34,3,2,3500,2024-04-15,Delivered,South
193,ORD-202400193,6,3,2,3500,2024-06-05,Delivered,Central
194,ORD-202400194,32,11,2,600,2024-05-29,Processing,West
195,ORD-202400195,30,11,3,600,2024-03-06,Delivered,West
196,ORD-202400196,44,15,3,5000,2024-05-19,Processing,West
197,ORD-202400197,20,6,5,4500,2024-06-12,Cancelled,East
198,ORD-202400198,13,8,3,1800,2024-04-08,Delivered,North
199,ORD-202400199,37,4,4,18000,2024-04-01,Delivered,East
200,ORD-202400200,18,1,4,75000,2024-01-03,Delivered,North
201,ORD-202400201,48,15,5,5000,2024-05-07,Delivered,East
202,ORD-202400202,39,13,2,6500,2024-03-31,Shipped,South
203,ORD-202400203,44,10,3,3500,2024-06-17,Delivered,South
204,ORD-202400204,41,11,1,600,2024-06-14,Pending,West
205,ORD-202400205,24,1,5,75000,2024-02-03,Pending,East
206,ORD-202400206,12,6,4,4500,2024-02-21,Processing,Central
207,ORD-202400207,34,15,3,5000,2024-05-08,Delivered,South
208,ORD-202400208,19,5,4,2000,2024-03-27,Delivered,West
209,ORD-202400209,49,2,2,1200,2024-02-27,Delivered,West
210,ORD-202400210,24,14,5,5500,2024-01-24,Delivered,North
211,ORD-202400211,8,5,5,2000,2024-04-26,Delivered,East
212,ORD-202400212,41,10,4,3500,2024-04-05,Processing,South
213,ORD-202400213,40,8,1,1800,2024-05-23,Shipped,Central
214,ORD-202400214,41,4,1,18000,2024-04-28,Delivered,East
215,ORD-202400215,8,11,4,600,2024-02-05,Pending,North
216,ORD-202400216,8,5,4,2000,2024-01-25,Shipped,Central
217,ORD-202400217,30,3,4,3500,2024-04-04,Delivered,Central
218,ORD-202400218,48,7,5,800,2024-02-09,Delivered,North
219,ORD-202400219,40,14,4,5500,2024-04-14,Delivered,East
220,ORD-202400220,14,1,3,75000,2024-04-23,Delivered,South
221,ORD-202400221,7,14,3,5500,2024-06-24,Delivered,East
222,ORD-202400222,18,1,4,75000,2024-02-18,Cancelled,West
223,ORD-202400223,42,2,2,1200,2024-06-12,Delivered,North
224,ORD-202400224,16,1,3,75000,2024-02-02,Delivered,South
225,ORD-202400225,14,2,5,1200,2024-05-30,Shipped,South
226,ORD-202400226,39,6,2,4500,2024-01-01,Shipped,South
227,ORD-202400227,17,3,5,3500,2024-02-14,Processing,North
228,ORD-202400228,23,3,1,3500,2024-03-01,Delivered,North
229,ORD-202400229,4,3,3,3500,2024-02-02,Delivered,Central
230,ORD-202400230,31,2,1,1200,2024-04-24,Delivered,Central
231,ORD-202400231,29,10,1,3500,2024-05-08,Shipped,Central
232,ORD-202400232,20,1,5,75000,2024-04-27,Delivered,North
233,ORD-202400233,26,1,4,75000,2024-04-19,Delivered,West
234,ORD-202400234,5,12,4,1500,2024-01-21,Shipped,South
235,ORD-202400235,18,2,2,1200,2024-06-08,Delivered,Central
236,ORD-202400236,25,12,3,1500,2024-06-01,Delivered,West
237,ORD-202400237,28,9,5,8500,2024-01-26,Delivered,North
238,ORD-202400238,47,14,5,5500,2024-02-25,Delivered,South
239,ORD-202400239,30,7,3,800,2024-04-12,Delivered,North
240,ORD-202400240,21,6,4,4500,2024-06-19,Shipped,South
241,ORD-202400241,5,11,4,600,2024-01-24,Delivered,North
242,ORD-202400242,48,7,1,800,2024-04-05,Delivered,Central
243,ORD-202400243,36,1,5,75000,2024-05-23,Shipped,North
244,ORD-202400244,43,7,3,800,2024-04-18,Delivered,North
245,ORD-202400245,20,5,5,2000,2024-03-31,Processing,Central
246,ORD-202400246,43,4,2,18000,2024-05-03,Shipped,North
247,ORD-202400247,24,6,5,4500,2024-01-30,Delivered,Central
248,ORD-202400248,36,4,4,18000,2024-06-08,Delivered,Central
249,ORD-202400249,43,1,5,75000,2024-06-26,Shipped,South
250,ORD-202400250,22,5,3,2000,2024-03-30,Pending,South
251,ORD-202400251,5,10,4,3500,2024-02-06,Delivered,North
252,ORD-202400252,14,2,5,1200,2024-04-06,Delivered,East
253,ORD-202400253,20,3,3,3500,2024-03-24,Delivered,Central
254,ORD-202400254,4,10,1,3500,2024-02-09,Processing,Central
255,ORD-202400255,18,1,1,75000,2024-04-23,Delivered,West
256,ORD-202400256,27,10,4,3500,2024-03-10,Shipped,Central
257,ORD-202400257,28,2,3,1200,2024-01-29,Shipped,Central
258,ORD-202400258,43,8,5,1800,2024-03-19,Pending,West
259,ORD-202400259,1,10,1,3500,2024-02-22,Shipped,South
260,ORD-202400260,49,13,2,6500,2024-03-06,Shipped,North
261,ORD-202400261,48,1,4,75000,2024-04-20,Processing,West
262,ORD-202400262,33,9,2,8500,2024-05-23,Delivered,East
263,ORD-202400263,48,2,4,1200,2024-01-11,Delivered,West
264,ORD-202400264,21,15,1,5000,2024-05-27,Delivered,West
265,ORD-202400265,19,12,4,1500,2024-01-30,Delivered,East
266,ORD-202400266,30,3,5,3500,2024-06-25,Delivered,North
267,ORD-202400267,16,7,1,800,2024-04-21,Delivered,Central
268,ORD-202400268,20,2,4,1200,2024-03-27,Shipped,South
269,ORD-202400269,41,2,5,1200,2024-01-30,Delivered,South
270,ORD-202400270,23,15,3,5000,2024-06-14,Delivered,South
271,ORD-202400271,17,2,2,1200,2024-02-20,Processing,South
272,ORD-202400272,12,13,1,6500,2024-06-09,Delivered,Central
273,ORD-202400273,29,13,5,6500,2024-06-23,Delivered,Central
274,ORD-202400274,21,11,5,600,2024-06-09,Shipped,West
275,ORD-202400275,29,2,4,1200,2024-06-10,Shipped,East
276,ORD-202400276,23,10,1,3500,2024-05-09,Pending,West
277,ORD-202400277,4,8,1,1800,2024-04-04,Delivered,North
278,ORD-202400278,40,11,1,600,2024-06-01,Delivered,West
279,ORD-202400279,48,10,5,3500,2024-01-11,Delivered,Central
280,ORD-202400280,21,11,2,600,2024-06-03,Delivered,South
281,ORD-202400281,7,1,4,75000,2024-03-28,Cancelled,North
282,ORD-202400282,3,9,2,8500,2024-03-04,Delivered,West
283,ORD-202400283,40,9,5,8500,2024-02-10,Delivered,East
284,ORD-202400284,50,7,4,800,2024-03-27,Delivered,North
285,ORD-202400285,5,13,3,6500,2024-03-25,Pending,West
286,ORD-202400286,47,5,3,2000,2024-06-17,Cancelled,Central
287,ORD-202400287,22,14,2,5500,2024-01-21,Delivered,South
288,ORD-202400288,20,15,3,5000,2024-06-16,Delivered,West
289,ORD-202400289,46,3,5,3500,2024-01-22,Shipped,West
290,ORD-202400290,9,11,3,600,2024-06-20,Delivered,Central
291,ORD-202400291,33,2,4,1200,2024-04-02,Pending,East
292,ORD-202400292,22,3,2,3500,2024-05-04,Processing,South
293,ORD-202400293,19,3,1,3500,2024-01-26,Delivered,Central
294,ORD-202400294,3,14,5,5500,2024-06-18,Shipped,Central
295,ORD-202400295,25,3,5,3500,2024-02-09,Processing,Central
296,ORD-202400296,47,13,2,6500,2024-04-22,Pending,East
297,ORD-202400297,29,11,2,600,2024-06-05,Shipped,West
298,ORD-202400298,16,4,5,18000,2024-03-20,Cancelled,West
299,ORD-202400299,24,15,2,5000,2024-06-22,Delivered,West
300,ORD-202400300,50,8,3,1800,2024-04-07,Delivered,West
301,ORD-202400301,39,3,2,3500,2024-02-05,Delivered,North
302,ORD-202400302,24,11,4,600,2024-05-21,Delivered,Central
303,ORD-202400303,19,14,1,5500,2024-01-22,Delivered,East
304,ORD-202400304,10,8,5,1800,2024-04-21,Pending,South
305,ORD-202400305,23,14,4,5500,2024-01-07,Delivered,West
306,ORD-202400306,16,9,3,8500,2024-04-08,Cancelled,East
307,ORD-202400307,21,4,1,18000,2024-01-26,Delivered,East
308,ORD-202400308,9,13,2,6500,2024-01-10,Shipped,West
309,ORD-202400309,49,12,2,1500,2024-06-29,Delivered,Central
310,ORD-202400310,2,1,1,75000,2024-03-06,Shipped,South
311,ORD-202400311,34,9,5,8500,2024-04-18,Processing,East
312,ORD-202400312,8,4,3,18000,2024-01-13,Shipped,Central
313,ORD-202400313,8,8,1,1800,2024-05-07,Delivered,North
314,ORD-202400314,37,11,5,600,2024-03-02,Delivered,East
315,ORD-202400315,40,7,1,800,2024-03-31,Shipped,West
316,ORD-202400316,34,3,1,3500,2024-04-02,Pending,Central
317,ORD-202400317,33,9,5,8500,2024-05-21,Pending,West
318,ORD-202400318,24,1,4,75000,2024-03-05,Delivered,East
319,ORD-202400319,23,13,1,6500,2024-03-02,Delivered,North
320,ORD-202400320,48,13,5,6500,2024-03-26,Processing,East
321,ORD-202400321,42,9,3,8500,2024-02-14,Delivered,West
322,ORD-202400322,41,12,4,1500,2024-02-16,Delivered,North
323,ORD-202400323,3,12,4,1500,2024-03-16,Shipped,South
324,ORD-202400324,21,15,1,5000,2024-03-20,Delivered,Central
325,ORD-202400325,3,8,3,1800,2024-06-14,Processing,East
326,ORD-202400326,42,14,1,5500,2024-03-25,Shipped,East
327,ORD-202400327,48,7,4,800,2024-04-22,Delivered,West
328,ORD-202400328,32,6,2,4500,2024-06-26,Delivered,Central
329,ORD-202400329,47,5,1,2000,2024-04-18,Pending,Central
330,ORD-202400330,35,14,2,5500,2024-03-16,Shipped,North
331,ORD-202400331,20,6,3,4500,2024-04-24,Delivered,West
332,ORD-202400332,23,3,4,3500,2024-04-24,Pending,East
333,ORD-202400333,18,10,4,3500,2024-06-12,Cancelled,North
334,ORD-202400334,24,2,4,1200,2024-05-11,Delivered,South
335,ORD-202400335,39,1,2,75000,2024-06-22,Delivered,North
336,ORD-202400336,16,3,1,3500,2024-06-14,Delivered,West
337,ORD-202400337,39,10,1,3500,2024-02-09,Delivered,East
338,ORD-202400338,49,6,4,4500,2024-01-20,Delivered,Central
339,ORD-202400339,21,6,4,4500,2024-06-15,Shipped,North
340,ORD-202400340,32,1,2,75000,2024-05-12,Delivered,Central
341,ORD-202400341,50,2,3,1200,2024-03-07,Delivered,South
342,ORD-202400342,45,10,3,3500,2024-05-05,Shipped,South
343,ORD-202400343,29,14,1,5500,2024-02-14,Delivered,West
344,ORD-202400344,43,2,3,1200,2024-03-29,Delivered,Central
345,ORD-202400345,20,9,3,8500,2024-02-10,Delivered,South
346,ORD-202400346,33,13,3,6500,2024-02-27,Processing,South
347,ORD-202400347,16,13,2,6500,2024-05-06,Pending,Central
348,ORD-202400348,30,10,3,3500,2024-05-21,Processing,North
349,ORD-202400349,26,2,3,1200,2024-05-02,Delivered,West
350,ORD-202400350,5,14,5,5500,2024-02-02,Cancelled,North
351,ORD-202400351,44,8,4,1800,2024-05-12,Shipped,Central
352,ORD-202400352,12,11,5,600,2024-02-03,Delivered,North
353,ORD-202400353,34,14,1,5500,2024-02-09,Shipped,South
354,ORD-202400354,23,6,2,4500,2024-05-12,Delivered,North
355,ORD-202400355,41,5,2,2000,2024-05-21,Shipped,East
356,ORD-202400356,6,10,5,3500,2024-05-08,Delivered,Central
357,ORD-202400357,11,10,2,3500,2024-06-17,Delivered,Central
358,ORD-202400358,3,6,5,4500,2024-01-08,Pending,Central
359,ORD-202400359,50,5,2,2000,2024-05-26,Delivered,North
360,ORD-202400360,19,8,5,1800,2024-06-13,Cancelled,West
361,ORD-202400361,20,4,4,18000,2024-04-26,Pending,North
362,ORD-202400362,27,3,4,3500,2024-05-03,Delivered,East
363,ORD-202400363,21,10,2,3500,2024-03-22,Delivered,East
364,ORD-202400364,49,7,2,800,2024-04-04,Delivered,North
365,ORD-202400365,30,6,2,4500,2024-02-01,Shipped,South
366,ORD-202400366,4,3,1,3500,2024-03-15,Delivered,Central
367,ORD-202400367,11,7,2,800,2024-03-24,Delivered,East
368,ORD-202400368,32,4,2,18000,2024-05-11,Delivered,East
369,ORD-202400369,6,8,1,1800,2024-04-10,Delivered,South
370,ORD-202400370,23,4,5,18000,2024-01-13,Pending,West
371,ORD-202400371,19,10,4,3500,2024-05-17,Pending,North
372,ORD-202400372,17,7,2,800,2024-04-03,Delivered,East
373,ORD-202400373,4,1,4,75000,2024-05-25,Delivered,East
374,ORD-202400374,5,9,3,8500,2024-04-08,Delivered,Central
375,ORD-202400375,44,5,5,2000,2024-06-05,Processing,North
376,ORD-202400376,22,7,3,800,2024-05-22,Delivered,South
377,ORD-202400377,33,4,5,18000,2024-04-12,Delivered,North
378,ORD-202400378,46,1,2,75000,2024-03-26,Delivered,Central
379,ORD-202400379,39,8,2,1800,2024-05-11,Processing,Central
380,ORD-202400380,26,6,2,4500,2024-06-06,Delivered,East
381,ORD-202400381,33,10,3,3500,2024-05-10,Delivered,Central
382,ORD-202400382,2,5,4,2000,2024-04-04,Shipped,North
383,ORD-202400383,20,7,5,800,2024-06-25,Delivered,Central
384,ORD-202400384,42,8,3,1800,2024-05-28,Delivered,North
385,ORD-202400385,11,10,4,3500,2024-05-14,Delivered,Central
386,ORD-202400386,10,13,4,6500,2024-06-23,Shipped,Central
387,ORD-202400387,13,12,1,1500,2024-01-05,Delivered,West
388,ORD-202400388,45,3,4,3500,2024-02-22,Delivered,Central
389,ORD-202400389,48,15,4,5000,2024-01-16,Delivered,Central
390,ORD-202400390,21,4,5,18000,2024-06-18,Delivered,West
391,ORD-202400391,30,6,2,4500,2024-05-16,Shipped,East
392,ORD-202400392,40,11,3,600,2024-05-03,Processing,South
393,ORD-202400393,20,5,5,2000,2024-02-27,Delivered,East
394,ORD-202400394,46,13,3,6500,2024-02-23,Delivered,West
395,ORD-202400395,23,6,4,4500,2024-05-23,Delivered,East
396,ORD-202400396,37,5,1,2000,2024-06-22,Delivered,West
397,ORD-202400397,50,14,3,5500,2024-02-07,Shipped,East
398,ORD-202400398,23,12,1,1500,2024-04-23,Delivered,West
399,ORD-202400399,35,4,2,18000,2024-03-10,Delivered,East
400,ORD-202400400,40,3,1,3500,2024-05-30,Shipped,North
401,ORD-202400401,15,11,5,600,2024-06-12,Shipped,North
402,ORD-202400402,46,7,3,800,2024-04-30,Processing,South
403,ORD-202400403,11,1,5,75000,2024-04-14,Delivered,West
404,ORD-202400404,49,8,2,1800,2024-03-14,Shipped,North
405,ORD-202400405,42,15,1,5000,2024-05-26,Shipped,North
406,ORD-202400406,27,15,2,5000,2024-02-15,Delivered,North
407,ORD-202400407,32,14,4,5500,2024-02-17,Delivered,East
408,ORD-202400408,1,15,1,5000,2024-03-17,Delivered,North
409,ORD-202400409,19,15,3,5000,2024-04-26,Cancelled,Central
410,ORD-202400410,9,9,4,8500,2024-05-09,Delivered,South
411,ORD-202400411,22,13,1,6500,2024-02-11,Delivered,East
412,ORD-202400412,1,12,2,1500,2024-03-27,Delivered,Central
413,ORD-202400413,12,11,2,600,2024-06-05,Delivered,West
414,ORD-202400414,33,14,4,5500,2024-03-24,Pending,North
415,ORD-202400415,31,3,2,3500,2024-03-23,Delivered,North
416,ORD-202400416,16,5,4,2000,2024-04-24,Delivered,East
417,ORD-202400417,47,5,5,2000,2024-05-26,Pending,East
418,ORD-202400418,4,12,2,1500,2024-06-19,Processing,East
419,ORD-202400419,44,3,4,3500,2024-05-08,Delivered,East
420,ORD-202400420,41,12,1,1500,2024-03-16,Delivered,South
421,ORD-202400421,31,4,2,18000,2024-02-09,Delivered,Central
422,ORD-202400422,45,6,4,4500,2024-05-20,Delivered,Central
